timestamp,VOC,CH4,SMOKE,CO,ODOR,label
19792,484,457,257,82,637,cola
19808,482,452,256,82,637,cola
19824,480,445,255,82,636,cola
19840,478,437,252,82,637,cola
19856,475,434,250,82,638,cola
19872,474,433,249,81,638,cola
19888,471,431,248,81,639,cola
19904,470,427,247,81,639,cola
19920,468,426,247,81,639,cola
19936,466,426,247,82,639,cola
19952,465,427,247,81,639,cola
19968,464,426,247,82,638,cola
19984,462,426,247,81,638,cola
20000,461,428,248,81,637,cola
20016,460,433,248,81,637,cola
20032,459,438,248,81,635,cola
20048,459,441,248,80,635,cola
20064,459,443,248,80,634,cola
20080,458,444,247,79,634,cola
20096,458,444,245,79,634,cola
20112,459,443,244,78,634,cola
20128,459,441,242,78,634,cola
20144,460,440,240,78,634,cola
20160,462,439,238,77,634,cola
20176,464,438,237,78,635,cola
20192,466,437,235,77,635,cola
20208,468,437,234,78,636,cola
20224,470,438,233,78,636,cola
20240,472,440,233,77,636,cola
20256,473,442,233,78,637,cola
20272,472,443,234,77,637,cola
20288,470,441,236,77,637,cola
20304,469,439,238,77,638,cola
20320,467,440,240,78,638,cola
20336,465,440,242,78,638,cola
20352,463,438,244,79,638,cola
20368,461,435,245,79,638,cola
20384,460,434,245,79,637,cola
20400,458,437,244,79,636,cola
20416,457,439,244,79,634,cola
20432,456,440,244,79,634,cola
20448,455,438,244,79,633,cola
20464,454,434,244,79,633,cola
20480,453,431,244,79,633,cola
20496,452,428,244,80,632,cola
20512,451,425,242,80,632,cola
20528,450,423,240,81,632,cola
20544,448,420,238,81,632,cola
20560,447,417,235,80,633,cola
20576,446,414,232,79,632,cola
20592,445,414,230,78,631,cola
20608,444,414,228,77,631,cola
20624,444,413,228,77,630,cola
20640,444,413,227,76,630,cola
20656,444,413,227,76,629,cola
20672,444,414,226,76,630,cola
20688,445,416,226,77,630,cola
20704,446,418,225,78,630,cola
20720,448,421,225,78,631,cola
20736,449,424,225,78,632,cola
20752,450,427,225,79,633,cola
20768,451,431,226,79,633,cola
20784,451,434,228,79,634,cola
